lat,long
26.3372,-98.6462
26.3372,-98.1462
26.3372,-97.6462
26.8372,-99.1462
26.8372,-98.6462
26.8372,-98.1462
26.8372,-97.6462
27.3372,-99.1462
27.3372,-98.6462
27.3372,-98.1462
27.3372,-97.6462
27.8372,-99.6462
27.8372,-99.1462
27.8372,-98.6462
27.8372,-98.1462
27.8372,-97.6462
27.8372,-97.1462
28.3372,-100.1462
28.3372,-99.6462
28.3372,-99.1462
28.3372,-98.6462
28.3372,-98.1462
28.3372,-97.6462
28.3372,-97.1462
28.3372,-96.6462
28.8372,-100.1462
28.8372,-99.6462
28.8372,-99.1462
28.8372,-98.6462
28.8372,-98.1462
28.8372,-97.6462
28.8372,-97.1462
28.8372,-96.6462
28.8372,-96.1462
28.8372,-95.6462
29.3372,-103.6462
29.3372,-103.1462
29.3372,-100.6462
29.3372,-100.1462
29.3372,-99.6462
29.3372,-99.1462
29.3372,-98.6462
29.3372,-98.1462
29.3372,-97.6462
29.3372,-97.1462
29.3372,-96.6462
29.3372,-96.1462
29.3372,-95.6462
29.3372,-95.1462
29.8372,-104.1462
29.8372,-103.6462
29.8372,-103.1462
29.8372,-102.6462
29.8372,-102.1462
29.8372,-101.6462
29.8372,-101.1462
29.8372,-100.6462
29.8372,-100.1462
29.8372,-99.6462
29.8372,-99.1462
29.8372,-98.6462
29.8372,-98.1462
29.8372,-97.6462
29.8372,-97.1462
29.8372,-96.6462
29.8372,-96.1462
29.8372,-95.6462
29.8372,-95.1462
29.8372,-94.6462
29.8372,-94.1462
30.3372,-104.6462
30.3372,-104.1462
30.3372,-103.6462
30.3372,-103.1462
30.3372,-102.6462
30.3372,-102.1462
30.3372,-101.6462
30.3372,-101.1462
30.3372,-100.6462
30.3372,-100.1462
30.3372,-99.6462
30.3372,-99.1462
30.3372,-98.6462
30.3372,-98.1462
30.3372,-97.6462
30.3372,-97.1462
30.3372,-96.6462
30.3372,-96.1462
30.3372,-95.6462
30.3372,-95.1462
30.3372,-94.6462
30.3372,-94.1462
30.8372,-105.1462
30.8372,-104.6462
30.8372,-104.1462
30.8372,-103.6462
30.8372,-103.1462
30.8372,-102.6462
30.8372,-102.1462
30.8372,-101.6462
30.8372,-101.1462
30.8372,-100.6462
30.8372,-100.1462
30.8372,-99.6462
30.8372,-99.1462
30.8372,-98.6462
30.8372,-98.1462
30.8372,-97.6462
30.8372,-97.1462
30.8372,-96.6462
30.8372,-96.1462
30.8372,-95.6462
30.8372,-95.1462
30.8372,-94.6462
30.8372,-94.1462
30.8372,-93.6462
31.3372,-105.6462
31.3372,-105.1462
31.3372,-104.6462
31.3372,-104.1462
31.3372,-103.6462
31.3372,-103.1462
31.3372,-102.6462
31.3372,-102.1462
31.3372,-101.6462
31.3372,-101.1462
31.3372,-100.6462
31.3372,-100.1462
31.3372,-99.6462
31.3372,-99.1462
31.3372,-98.6462
31.3372,-98.1462
31.3372,-97.6462
31.3372,-97.1462
31.3372,-96.6462
31.3372,-96.1462
31.3372,-95.6462
31.3372,-95.1462
31.3372,-94.6462
31.3372,-94.1462
31.8372,-106.1462
31.8372,-105.6462
31.8372,-105.1462
31.8372,-104.6462
31.8372,-104.1462
31.8372,-103.6462
31.8372,-103.1462
31.8372,-102.6462
31.8372,-102.1462
31.8372,-101.6462
31.8372,-101.1462
31.8372,-100.6462
31.8372,-100.1462
31.8372,-99.6462
31.8372,-99.1462
31.8372,-98.6462
31.8372,-98.1462
31.8372,-97.6462
31.8372,-97.1462
31.8372,-96.6462
31.8372,-96.1462
31.8372,-95.6462
31.8372,-95.1462
31.8372,-94.6462
31.8372,-94.1462
32.3372,-102.6462
32.3372,-102.1462
32.3372,-101.6462
32.3372,-101.1462
32.3372,-100.6462
32.3372,-100.1462
32.3372,-99.6462
32.3372,-99.1462
32.3372,-98.6462
32.3372,-98.1462
32.3372,-97.6462
32.3372,-97.1462
32.3372,-96.6462
32.3372,-96.1462
32.3372,-95.6462
32.3372,-95.1462
32.3372,-94.6462
32.3372,-94.1462
32.8372,-102.6462
32.8372,-102.1462
32.8372,-101.6462
32.8372,-101.1462
32.8372,-100.6462
32.8372,-100.1462
32.8372,-99.6462
32.8372,-99.1462
32.8372,-98.6462
32.8372,-98.1462
32.8372,-97.6462
32.8372,-97.1462
32.8372,-96.6462
32.8372,-96.1462
32.8372,-95.6462
32.8372,-95.1462
32.8372,-94.6462
32.8372,-94.1462
33.3372,-102.6462
33.3372,-102.1462
33.3372,-101.6462
33.3372,-101.1462
33.3372,-100.6462
33.3372,-100.1462
33.3372,-99.6462
33.3372,-99.1462
33.3372,-98.6462
33.3372,-98.1462
33.3372,-97.6462
33.3372,-97.1462
33.3372,-96.6462
33.3372,-96.1462
33.3372,-95.6462
33.3372,-95.1462
33.3372,-94.6462
33.3372,-94.1462
33.8372,-102.6462
33.8372,-102.1462
33.8372,-101.6462
33.8372,-101.1462
33.8372,-100.6462
33.8372,-100.1462
33.8372,-99.6462
33.8372,-99.1462
33.8372,-98.6462
33.8372,-98.1462
33.8372,-97.6462
33.8372,-96.6462
33.8372,-96.1462
33.8372,-95.6462
33.8372,-95.1462
34.3372,-102.6462
34.3372,-102.1462
34.3372,-101.6462
34.3372,-101.1462
34.3372,-100.6462
34.3372,-100.1462
34.3372,-99.6462
34.8372,-102.6462
34.8372,-102.1462
34.8372,-101.6462
34.8372,-101.1462
34.8372,-100.6462
34.8372,-100.1462
35.3372,-102.6462
35.3372,-102.1462
35.3372,-101.6462
35.3372,-101.1462
35.3372,-100.6462
35.3372,-100.1462
35.8372,-102.6462
35.8372,-102.1462
35.8372,-101.6462
35.8372,-101.1462
35.8372,-100.6462
35.8372,-100.1462
36.3372,-102.6462
36.3372,-102.1462
36.3372,-101.6462
36.3372,-101.1462
36.3372,-100.6462
36.3372,-100.1462
